Item Inventory #,Purchase_Date,seller,Brand + Product Name,Brand,Product_Name,product description, Quality , Purchase Price , List Price , Sell price , Gross Amount Earned , Net Profit/Loss ,Percent Profit,Date Sold,Days Held
290,4/26/2025,Weber502,Louis Vuitton Monogram Elise Wallet,,,Great Condition,, $ 59.67 , $ 100.00 , $ 100.00 , $ 54.00 , $ 46.00 ,46%,5/9/2025,  13.00 
291,4/26/2025,Weber502,Miu Miu Red Crocodile Long Wallet,,,Great Condition,, $ 110.29 ,, $ 50.00 , $ 43.85 , $ 6.15 ,12%,5/14/2025,  18.00 
292,4/18/2025,goldenboutique,MCM Mini Boston Bag in Cognac,,,Great Condition,, $ 110.22 ,, $ 180.00 , $ 81.00 , $ 99.00 ,55%,6/1/2025,  44.00 
293,4/19/2025,goldenboutique,Tory Burch Silver Crossbody,,,Fair Condition,, $ 43.64 ,, $ 45.00 , $ 39.39 , $ 5.61 ,12%,5/18/2025,  29.00 
294,4/17/2025,Courtney Everett,Chloe Marcie in Burgundy - Large,,,Great Condition,, $ 158.11 , $ 595.00 , $ 494.00 , $ 395.20 , $ 98.80 ,20%,,  110.00 
295,4/17/2025,Lilit_321,See by Chloe Joan Shoulder Bag in Straw Beige/Gold,,,Great Condition,, $ 163.83 ,, $ 179.00 , $ 158.54 , $ 20.46 ,11%,7/25/2025,  99.00 
296,5/2/2025,NA,Bag charm auction,,,,, $ 4.00 ,, $ 27.00 , $ 23.41 , $ 3.59 ,13%,5/2/2025,  -   
297,5/2/2025,NA,Bag charm auction,,,,, $ 4.00 ,, $ 36.00 , $ 31.42 , $ 4.58 ,13%,5/2/2025,  -   
298,5/2/2025,NA,Bag charm auction,,,,, $ 4.00 ,, $ 28.00 , $ 24.33 , $ 3.67 ,13%,5/2/2025,  -   
299,5/2/2025,NA,Road to 1K,,,,, $ 0.01 ,, $ 10.00 , $ 8.41 , $ 1.59 ,16%,5/2/2025,  -   
300,5/2/2025,NA,Road to 1K,,,,, $ 0.01 ,, $ 10.00 , $ 8.49 , $ 1.51 ,15%,5/2/2025,  -   
301,5/2/2025,NA,LV Monogram Key Cles,,,,, $ 0.01 ,, $ 40.00 , $ 35.23 , $ 4.77 ,12%,5/2/2025,  -   
